id,type_id,name,description,description2,review,viewed,published_date,slug,cbd,cbn,cbc,thc,thcv,imported,hasocs,rating,URL,leafly,lift.co,wikileaf
57,1,Alien Dawg,"With a sour and pungent odor, Alien Dawg has a light, bitter taste and presents brilliant mind and body effects. Originating from Northern California and Afghanistan, Alien Dawg is a cross between Chem Dawg and Alien Technology with a THC content of up to 20%.","Descending&nbsp;from Northern California and Afghanistan genetics, Alien Dawg is a cross between&nbsp;Chemdawg and Alien Technology with a THC content of up to 20%. With a sour and pungent odor, Alien Dawg has a light, bitter taste and&nbsp;presents brilliant mind and body effects.",1,29,0000-00-00,alien-dawg,0.1,0,0,24,0,1,1,3,https://canbii.com/strains/alien-dawg,https://www.leafly.com/indica/alien-dawg?cat=strain https://www.leafly.com/products/details/nebula-gardens-alien-dawg?q=alien-dawg&cat=product https://www.leafly.com/products/details/silverpeak-alien-dawg?q=alien-dawg&cat=product https://www.leafly.com/products/details/kynd-cannabis-company-alien-dawg?q=alien-dawg&cat=product https://www.leafly.com/products/details/kynd-cannabis-company-alien-dawg-1g-pure-syringe?q=alien-dawg&cat=product https://www.leafly.com/products/details/kynd-cannabis-company-alien-dawg-1g-co2-dab-sap?q=alien-dawg&cat=product https://www.leafly.com/products/details/kynd-cannabis-company-alien-dawg-250mg-disposable-vape-pen?q=alien-dawg&cat=product,https://lift.co/strains/aphria-inc-alien-dawg,
184,3,Blue Dream,"Blue Dream is a sativa hybrid originating from California and has the lineage of Blueberry and Haze. It was primarily bred to provide the intense couch-locking body high of indica and the immense cerebral effects of a sativa. It has achieved legendary status among west coast strains. The effect of this strain will immediately make the users feel the sativa based effects that are associated with its hybrid lineage. It is a great strain to use to unwind and relax your body from a long day. An hour later, the users may begin to feel the indica based effects of an intense body high. It is absolutely great to serve as a mood elevator for the ones suffering from anxiety, stress, insomnia, chronic or debilitating pain, and lack of appetite. The cons of this strain would be occasional bouts of dizziness and and paranoia along side the commonly found side effects of dry mouth and eyes.","Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent. With a sweet berry aroma redolent of its Blueberry parent, Blue Dream delivers swift symptom relief without heavy sedative effects. This makes Blue Dream a popular daytime medicine for patients treating pain, depression, nausea, and other ailments requiring a high THC strain.&nbsp;",2,27,0000-00-00,blue-dream,0.61,0.19,0.02,17.16,0.02,1,1,3,https://canbii.com/strains/blue-dream,https://www.leafly.com/hybrid/blue-dream?q=blue-dream&cat=strain https://www.leafly.com/products/details/item-9-labs-blue-dream?q=blue-dream&cat=product https://www.leafly.com/products/details/denver-terpenes-blue-dream?q=blue-dream&cat=product,https://lift.co/strains/aurora-recreational-blue-dream,
371,3,Cold Creek Kush,"A potent cross of the MK Ultra and Chem-91, Cold Creek Kush is an indica dominant hybrid strain which is bred by T.H. Seeds. One of the popular strains across the globe, Cold Creek Kush won 2nd Place at the 2010 High Times Cannabis Cup in the indica category. This strain has a flowering period of 9-10 weeks. The growers must have adqequate room to stretch out its limbs. Piney and sour, users will feel the fresh taste and balanced effect of this strain which is extremely relaxing without being too sleepy.","Cold Creek Kush is an indica-dominant hybrid that crosses the powerful MK Ultra and fellow Colorado native Chemdawg&nbsp;91. The work of T.H. Seeds, this strain nabbed 2nd place at the 2010 High Times Cannabis Cup in the indica category. Cold Creek Kush flowers at 9 to 11 weeks, but must have adequate room to stretch out its limbs. Piney and sour, users rave over its fresh taste and balanced effects, which are relaxing without being too sleepy.",1,86,0000-00-00,cold-creek-kush,0.1,0,0,19,0,1,1,2,https://canbii.com/strains/cold-creek-kush,https://www.leafly.com/hybrid/cold-creek-kush?cat=strain https://www.leafly.com/products/details/seven-oaks-cold-creek-kush?q=cold-creek-kush&cat=product https://www.leafly.com/products/details/redecan-cold-creek-kush?q=cold-creek-kush&cat=product https://www.leafly.com/products/details/dutchie-products-dutchie-cold-creek-kush?q=cold-creek-kush&cat=product https://www.leafly.com/products/details/weedmd-cold-creek-kusk?q=cold-creek-kush&cat=product,https://lift.co/strains/beleave-cold-creek-kush,
612,2,Great White Shark,"It's serious medicine with clinically-tested THC levels of 14.85% and CBD levels of just 0.22%. Most patients truly appreciate the sedative, analgesic effects of this marijuana strain. Great White Shark is one that is super potent and provides a very powerful narcotic effect. It is an effective strain for stimulating the appetite, relieving depression, migraines, and nausea. Great White Shark is a sativa strain with high levels of THC providing the patient with a psychoactive, energetic, mind-high.",,2,27,0000-00-00,great-white-shark,3.82,1.09,0,25.35,0,1,1,4.34,https://canbii.com/strains/great-white-shark,https://www.leafly.com/sativa/white-shark?q=great-white-shark&cat=strain https://www.leafly.com/products/details/san-rafael-71-great-white-shark?q=great-white-shark&cat=product https://www.leafly.com/products/details/royal-high-great-white-shark?q=great-white-shark&cat=product https://www.leafly.com/products/details/mainland-cannabis-great-white-shark?q=great-white-shark&cat=product https://www.leafly.com/products/details/apollo-grown-great-white-shark-crumble?q=great-white-shark&cat=product,https://lift.co/strains/san-rafael-71-great-white-shark,
872,3,Lemon Skunk,"With a Lemon mother (which has been kept in Vegas for over 20 years) and a father hand-picked in Holland, you know you are getting a heavy hitter! Lemon Skunk is a sativa dominant, hybrid strain good for pain and stress. It's a cross between two Skunks with phenotypes chosen for their zesty lemon characteristics. As the name implies, it has the flavour of citrus.","Lemon Skunk was conceived from two separate Skunk phenotypes that displayed exceptionally zesty lemon traits. The skunky, citrus flavor draws you in immediately, and the happy, energetic buzz will shake you out of any funk. DNA Genetics has developed Lemon Skunk as great strain for combating depression and stress.",3,228,0000-00-00,lemon-skunk,0.45,0.26,0.06,14.37,0.09,1,1,3.42,https://canbii.com/strains/lemon-skunk,https://www.leafly.com/hybrid/lemon-skunk?q=lemon-skunk&cat=strain https://www.leafly.com/products/details/bellevue-farms-super-lemon-haze?q=lemon-skunk&cat=product https://www.leafly.com/products/details/emerald-family-farms-lemon-skunk?q=lemon-skunk&cat=product https://www.leafly.com/products/details/in-the-flow-lemon-skunk?q=lemon-skunk&cat=product https://www.leafly.com/products/details/vapenterps-500mg-lemon-skunk-cbd-vape-cartridge?q=lemon-skunk&cat=product,https://lift.co/strains/dna-genetics-lemon-skunk,
919,1,Mango,"If you want Mango to stay at an average size in an outdoor garden, allow only 3 weeks of vegetative time and transplant outdoors as late as July in Northern latitudes. Mango's parentage is part KC 33 and part Mango from a hippie fellow who grew it for 30 years, then let KC use it as a cross in 1991. Don't let Mangos slow start fool you - this variety will eventually rival the impressive size of many KC varieties, which are especially intended for outdoor grows.","The Mango cannabis strain has been around since the early 1960s. In 1991, it was crossed with KC 33 to give us the current Mango strain. Its buds have been known to grow very large, about the size of a softball, and can be up to a foot and a half in length. The foliage turns to a deep red/purple color with a smell and taste of sweet mango. Mango takes 9 to&nbsp;11 weeks to flower&nbsp;and has a THC content of 15-20%.",1,4,0000-00-00,mango,3.74,1.09,0,24.88,0,1,1,3,https://canbii.com/strains/mango,,,
1120,3,Pink Kush,"Relaxation runs in Pink Kush's indica genes, promoting rest and stress relief without total sedation. Even for veteran consumers, the heaviness of this strain could be considered overpowering, and even small doses eliminate pain, insomnia, and appetite loss. Pink Kush (as legendary as its OG Kush relative) is an indica dominant hybrid with powerful body-focused effects. Growers have to wait 10-11 weeks for Pink Kush's flowering, but the large top-shelf yields are worth the wait.","Pink Kush, as coveted as its OG Kush relative, is an indica-dominant hybrid with powerful body-focused effects. In its exceptional variations, pink hairs burst from bright green buds barely visible under a blanket of sugar-like trichomes, with traces of a sweet vanilla and candy perfume. The potency&nbsp;of this strain could be considered overpowering, and even small doses are known to&nbsp;eliminate pain, insomnia, and appetite loss.&nbsp;Growers have to wait 10 to 11 weeks for Pink Kush&rsquo;s flowering, but high&nbsp;yields of top-shelf buds&nbsp;are worth the wait.",2,374,0000-00-00,pink-kush,0,0,0,25.1,0,1,1,4.44,https://canbii.com/strains/pink-kush,https://www.leafly.com/hybrid/pink-kush?q=pink-kush&cat=strain https://www.leafly.com/products/details/aeriz-pink-kush?q=pink-kush&cat=product https://www.leafly.com/products/details/tilray-pink-kush?q=pink-kush&cat=product https://www.leafly.com/products/details/canna-farms-pink-kush?q=pink-kush&cat=product https://www.leafly.com/products/details/san-rafael-71-pink-kush?q=pink-kush&cat=product,https://lift.co/strains/tilray-pink-kush,
1313,1,Shishkaberry,"Shiskaberry's buds have a fruit and berry aroma and will be painted with shades of purple. Its initial head buzz is happy and good for finishing things up or being social, but once its indica side kicks in, lazy is the word. Shiskaberry, or ?Kish,? is an indica dominant hybrid that came about from crossing DJ Short Blueberry with an unknown Afghani strain. This plant will mature in 8 to 9 weeks and should yield a fairly high amount of flowers.","Shishkaberry, or &ldquo;Kish,&rdquo; is an indica-dominant hybrid that came about from crossing DJ Short Blueberry with an unknown Afghani strain. This plant will mature in 8 to 9 weeks and should yield a fairly high amount of flowers. Shiskaberry&rsquo;s buds have a fruit and berry aroma and will be painted with shades of purple. Its initial head buzz is happy and good for finishing things up or being social, but once its indica side kicks in, lazy is the word.",2,61,0000-00-00,shishkaberry,1,0,0,16,0,1,1,2.84,https://canbii.com/strains/shishkaberry,https://www.leafly.com/indica/shishkaberry?q=shishkaberry&cat=strain https://www.leafly.com/products/details/genesis-pharms-shishkaberry?q=shishkaberry&cat=product https://www.leafly.com/products/details/emerald-health-therapeutics-shishkaberry?q=shishkaberry&cat=product https://www.leafly.com/products/details/redecan-shishkaberry?q=shishkaberry&cat=product https://www.leafly.com/products/details/weedmd-shishkaberry-clone?q=shishkaberry&cat=product https://www.leafly.com/products/details/seven-oaks-shiskaberry?q=shishkaberry&cat=product,https://lift.co/strains/redecan-shishkaberry,
1445,1,Super Skunk,This strain carries a very strong skunky smell and provides a pleasant high with a little body to it. Super Skunk was developed for skunk lovers.Sensi Seeds took original Skunk #1 and other Afghani indicas to create this fine plant.,"A predominantly indica variety, Super Skunk takes its robust flowers from its parent strain Skunk #1. By backcrossing the legendary Skunk with Afghani genetics, Sensi Seeds created a strain with dense, thick buds that are known to be extremely pungent with a surprisingly sweet taste. This strain produces a bold relaxing effect over the body and is a great answer for increased stress and body pains.",1,19,0000-00-00,super-skunk,3.72,1.08,0,24.72,0,1,1,4,https://canbii.com/strains/super-skunk,https://www.leafly.com/indica/super-skunk?q=super-skunk&cat=strain https://www.leafly.com/products/details/royal-high-super-skunk?q=super-skunk&cat=product,https://lift.co/strains/united-greeneries-super-skunk,
1477,3,Tangerine Dream,"While too much Tangerine Dream may leave you stuck on the couch, this strain was handcrafted to meet the demands of working medical patients. A strain for connoisseurs, Tangerine Dream is the hybrid daughter of G13 and Neville's breeder strain A5. Uplifting and euphoric, it provides users with mental clarity while deeply relaxing muscles. Tangerine Dream typically flowers in 8 to 10 weeks and features a citrusy aroma. Its ability to knock out pain while increasing energy is what makes this strain so special. This winner of the 2010 Cannabis Cup was created by the illustrious Barney's Farm.","This winner of the 2010 Cannabis Cup was created by the illustrious Barney&rsquo;s Farm. A strain for connoisseurs, Tangerine Dream is the hybrid daughter of G13, Afghani, and Neville&#39;s A5 Haze. Its ability to knock out pain while increasing energy is what makes Tangerine Dream so special. While too much Tangerine Dream may leave you stuck on the couch, this strain was handcrafted to meet the demands of working medical patients. Uplifting and euphoric, it provides users with mental clarity while deeply relaxing muscles. Tangerine Dream typically flowers in 8 to 10 weeks and features a citrusy aroma.",1,24,0000-00-00,tangerine-dream,0.1,0,0,17.6,0,1,1,3,https://canbii.com/strains/tangerine-dream,https://www.leafly.com/hybrid/tangerine-dream?q=tangerine-dream&cat=strain https://www.leafly.com/products/details/canna-farms-tangerine-dream?q=tangerine-dream&cat=product https://www.leafly.com/products/details/phyto-extractions-tangerine-dream?q=tangerine-dream&cat=product https://www.leafly.com/products/details/san-rafael-71-tangerine-dream?q=tangerine-dream&cat=product,https://lift.co/strains/canna-farms-tangerine-dream,
